match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_of_match
335982,2008,6,Bangalore,18-04-2008,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,1,1,6,field,6,140,,win,46
1082591,2017,6,Hyderabad,05-04-2017,Indian Premier League,1,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",1,2,1,field,2,35,,win,15
1082592,2017,6,Pune,06-04-2017,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,3,field,4,,7,win,36
1082593,2017,6,Rajkot,07-04-2017,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,6,5,6,field,6,,10,win,57
1082594,2017,6,Indore,08-04-2017,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,494,494,4,field,494,,6,win,71
1082595,2017,6,Bengaluru,08-04-2017,Indian Premier League,5,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,1,1,252,bat,1,15,,win,4
1082596,2017,6,Hyderabad,09-04-2017,Indian Premier League,6,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",2,2,5,field,2,,9,win,22
1082597,2017,6,Mumbai,09-04-2017,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,6,field,3,,4,win,26
1082598,2017,6,Indore,10-04-2017,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,1,494,1,bat,494,,8,win,70
1082599,2017,6,Pune,11-04-2017,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,252,field,252,97,,win,180
1082600,2017,6,Mumbai,12-04-2017,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,2,field,3,,4,win,33
1082601,2017,6,Kolkata,13-04-2017,Indian Premier League,11,male,T20,T20,20,2017,club,Eden Gardens,6,6,494,field,6,,8,win,65
1082602,2017,6,Bangalore,14-04-2017,Indian Premier League,12,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,3,1,3,field,3,,4,win,29
1082603,2017,6,Rajkot,14-04-2017,Indian Premier League,13,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,4,field,5,,7,win,351
1082604,2017,6,Kolkata,15-04-2017,Indian Premier League,14,male,T20,T20,20,2017,club,Eden Gardens,2,6,2,field,6,17,,win,58
1082605,2017,6,Delhi,15-04-2017,Indian Premier League,15,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,494,bat,252,51,,win,258
1082606,2017,6,Mumbai,16-04-2017,Indian Premier League,16,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,5,field,3,,6,win,26
1082607,2017,6,Bangalore,16-04-2017,Indian Premier League,17,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,1,1,4,field,4,27,,win,37
1082608,2017,6,Delhi,17-04-2017,Indian Premier League,18,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,6,bat,6,,4,win,471
1082609,2017,6,Hyderabad,17-04-2017,Indian Premier League,19,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",494,2,494,field,2,5,,win,20
1082610,2017,6,Rajkot,18-04-2017,Indian Premier League,20,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,1,field,1,21,,win,1
1082611,2017,6,Hyderabad,19-04-2017,Indian Premier League,21,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",2,2,252,bat,2,15,,win,531
1082612,2017,6,Indore,20-04-2017,Indian Premier League,22,male,T20,T20,20,2017,club,Holkar Cricket Stadium,3,494,3,field,3,,8,win,24
1082613,2017,6,Kolkata,21-04-2017,Indian Premier League,23,male,T20,T20,20,2017,club,Eden Gardens,5,6,5,field,5,,4,win,47
1082614,2017,6,Mumbai,22-04-2017,Indian Premier League,25,male,T20,T20,20,2017,club,Wankhede Stadium,252,3,252,field,3,14,,win,32
1082615,2017,6,Pune,22-04-2017,Indian Premier League,24,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,2,field,4,,6,win,38
1082616,2017,6,Rajkot,23-04-2017,Indian Premier League,26,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,494,field,494,26,,win,67
1082617,2017,6,Kolkata,23-04-2017,Indian Premier League,27,male,T20,T20,20,2017,club,Eden Gardens,1,6,1,field,6,82,,win,471
1082618,2017,6,Mumbai,24-04-2017,Indian Premier League,28,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,4,field,4,3,,win,37
1082620,2017,6,Pune,26-04-2017,Indian Premier League,30,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,6,4,6,field,6,,7,win,58
1082621,2017,6,Bangalore,27-04-2017,Indian Premier League,31,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,5,1,5,field,5,,7,win,351
1082622,2017,6,Kolkata,28-04-2017,Indian Premier League,32,male,T20,T20,20,2017,club,Eden Gardens,6,6,252,field,6,,7,win,56
1082623,2017,6,Chandigarh,28-04-2017,Indian Premier League,33,male,T20,T20,20,2017,club,"Punjab Cricket Association IS Bindra Stadium, Mohali",494,494,2,field,2,26,,win,22
1082624,2017,6,Pune,29-04-2017,Indian Premier League,34,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,1,4,1,field,4,61,,win,361
1082625,2017,6,Rajkot,29-04-2017,Indian Premier League,35,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,3,bat,3,,,tie,28
1082626,2017,6,Chandigarh,30-04-2017,Indian Premier League,36,male,T20,T20,20,2017,club,"Punjab Cricket Association IS Bindra Stadium, Mohali",494,494,252,field,494,,10,win,76
1082627,2017,6,Hyderabad,30-04-2017,Indian Premier League,37,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",6,2,6,field,2,48,,win,12
1082628,2017,6,Mumbai,01-05-2017,Indian Premier League,38,male,T20,T20,20,2017,club,Wankhede Stadium,1,3,1,bat,3,,5,win,25
1082629,2017,6,Pune,01-05-2017,Indian Premier League,39,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,5,field,4,,5,win,37
1082630,2017,6,Delhi,02-05-2017,Indian Premier League,40,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,2,field,252,,6,win,460
1082631,2017,6,Kolkata,03-05-2017,Indian Premier League,41,male,T20,T20,20,2017,club,Eden Gardens,4,6,4,field,4,,4,win,268
1082632,2017,6,Delhi,04-05-2017,Indian Premier League,42,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,5,field,252,,7,win,181
1082633,2017,6,Bangalore,05-05-2017,Indian Premier League,43,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,1,1,494,field,494,19,,win,76
1082634,2017,6,Hyderabad,06-05-2017,Indian Premier League,44,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",2,2,4,field,4,12,,win,438
1082635,2017,6,Delhi,06-05-2017,Indian Premier League,45,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,3,field,3,146,,win,1035
1082636,2017,6,Bangalore,07-05-2017,Indian Premier League,46,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,6,1,6,field,6,,6,win,65
1082637,2017,6,Chandigarh,07-05-2017,Indian Premier League,47,male,T20,T20,20,2017,club,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,494,5,field,5,,6,win,50
1082638,2017,6,Hyderabad,08-05-2017,Indian Premier League,48,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",3,2,3,bat,2,,7,win,13
1082639,2017,6,Chandigarh,09-05-2017,Indian Premier League,49,male,T20,T20,20,2017,club,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,494,6,field,494,14,,win,75
1082640,2017,6,Kanpur,10-05-2017,Indian Premier League,50,male,T20,T20,20,2017,club,Green Park,252,5,252,field,252,,2,win,389
1082641,2017,6,Mumbai,11-05-2017,Indian Premier League,51,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,494,field,494,7,,win,69
1082642,2017,6,Delhi,12-05-2017,Indian Premier League,52,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,4,bat,252,7,,win,179
1082643,2017,6,Kanpur,13-05-2017,Indian Premier League,53,male,T20,T20,20,2017,club,Green Park,2,5,2,field,2,,8,win,538
1082644,2017,6,Kolkata,13-05-2017,Indian Premier League,54,male,T20,T20,20,2017,club,Eden Gardens,6,6,3,field,3,9,,win,27
1082645,2017,6,Pune,14-05-2017,Indian Premier League,55,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,494,field,4,,9,win,438
1082646,2017,6,Delhi,14-05-2017,Indian Premier League,56,male,T20,T20,20,2017,club,Feroz Shah Kotla,1,252,1,bat,1,10,,win,1285
1082647,2017,6,Mumbai,16-05-2017,Indian Premier League,,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,4,field,4,20,,win,613
1082648,2017,6,Bangalore,17-05-2017,Indian Premier League,,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,6,2,6,field,6,,7,win,471
1082649,2017,6,Bangalore,19-05-2017,Indian Premier League,,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,3,3,6,field,3,,6,win,676
1082650,2017,6,Hyderabad,21-05-2017,Indian Premier League,,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",3,3,4,bat,3,1,,win,28
1136561,2018,6,Mumbai,07-04-2018,Indian Premier League,1,male,T20,T20,20,2018,club,Wankhede Stadium,129,3,129,field,129,,1,win,1393
1136562,2018,6,Chandigarh,08-04-2018,Indian Premier League,2,male,T20,T20,20,2018,club,Punjab Cricket Association IS Bindra Stadium,494,252,494,field,494,,6,win,1409
1136563,2018,6,Kolkata,08-04-2018,Indian Premier League,3,male,T20,T20,20,2018,club,Eden Gardens,6,1,6,field,6,,4,win,65
1136564,2018,6,Hyderabad,09-04-2018,Indian Premier League,4,male,T20,T20,20,2018,club,Rajiv Gandhi International Stadium,2,134,2,field,2,,9,win,13
1136565,2018,6,Chennai,10-04-2018,Indian Premier League,5,male,T20,T20,20,2018,club,MA Chidambaram Stadium,129,6,129,field,129,,5,win,178
1136566,2018,6,Jaipur,11-04-2018,Indian Premier League,6,male,T20,T20,20,2018,club,Sawai Mansingh Stadium,252,134,252,field,134,10,,win,180
1136567,2018,6,Hyderabad,12-04-2018,Indian Premier League,7,male,T20,T20,20,2018,club,Rajiv Gandhi International Stadium,2,3,2,field,2,,1,win,22
1136568,2018,6,Bengaluru,13-04-2018,Indian Premier League,8,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,1,494,1,field,1,,4,win,318
1136569,2018,6,Mumbai,14-04-2018,Indian Premier League,9,male,T20,T20,20,2018,club,Wankhede Stadium,252,3,252,field,252,,7,win,45
1136570,2018,6,Kolkata,14-04-2018,Indian Premier League,10,male,T20,T20,20,2018,club,Eden Gardens,2,6,2,field,2,,5,win,176
1136571,2018,6,Bengaluru,15-04-2018,Indian Premier League,11,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,1,134,1,field,134,19,,win,180
1136572,2018,6,Chandigarh,15-04-2018,Indian Premier League,12,male,T20,T20,20,2018,club,Punjab Cricket Association IS Bindra Stadium,129,494,129,field,494,4,,win,1
1136573,2018,6,Kolkata,16-04-2018,Indian Premier League,13,male,T20,T20,20,2018,club,Eden Gardens,252,6,252,field,6,71,,win,26
1136574,2018,6,Mumbai,17-04-2018,Indian Premier League,14,male,T20,T20,20,2018,club,Wankhede Stadium,1,3,1,field,3,46,,win,25
1136575,2018,6,Jaipur,18-04-2018,Indian Premier League,15,male,T20,T20,20,2018,club,Sawai Mansingh Stadium,6,134,6,field,6,,7,win,26
1136576,2018,6,Chandigarh,19-04-2018,Indian Premier League,16,male,T20,T20,20,2018,club,Punjab Cricket Association IS Bindra Stadium,494,494,2,bat,494,15,,win,1
1136577,2018,6,Pune,20-04-2018,Indian Premier League,17,male,T20,T20,20,2018,club,Maharashtra Cricket Association Stadium,134,129,134,field,129,64,,win,5
1136578,2018,6,Kolkata,21-04-2018,Indian Premier League,18,male,T20,T20,20,2018,club,Eden Gardens,494,6,494,field,494,,9,win,1409
1136579,2018,6,Bengaluru,21-04-2018,Indian Premier League,19,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,1,252,1,field,1,,6,win,245
1136580,2018,6,Hyderabad,22-04-2018,Indian Premier League,20,male,T20,T20,20,2018,club,Rajiv Gandhi International Stadium,2,129,2,field,129,4,,win,27
1136581,2018,6,Jaipur,22-04-2018,Indian Premier League,21,male,T20,T20,20,2018,club,Sawai Mansingh Stadium,3,3,134,bat,134,,3,win,1833
1136582,2018,6,Delhi,23-04-2018,Indian Premier League,22,male,T20,T20,20,2018,club,Arun Jaitley Stadium,252,494,252,field,494,4,,win,219
1136583,2018,6,Mumbai,24-04-2018,Indian Premier League,23,male,T20,T20,20,2018,club,Wankhede Stadium,3,2,3,field,2,31,,win,22
1136584,2018,6,Bengaluru,25-04-2018,Indian Premier League,24,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,129,1,129,field,129,,5,win,38
1136585,2018,6,Hyderabad,26-04-2018,Indian Premier League,25,male,T20,T20,20,2018,club,Rajiv Gandhi International Stadium,494,2,494,field,2,13,,win,219
1136586,2018,6,Delhi,27-04-2018,Indian Premier League,26,male,T20,T20,20,2018,club,Arun Jaitley Stadium,6,252,6,field,252,55,,win,389
1136587,2018,6,Pune,28-04-2018,Indian Premier League,27,male,T20,T20,20,2018,club,Maharashtra Cricket Association Stadium,3,129,3,field,3,,8,win,25
1136588,2018,6,Jaipur,29-04-2018,Indian Premier League,28,male,T20,T20,20,2018,club,Sawai Mansingh Stadium,2,2,134,bat,2,11,,win,531
1136589,2018,6,Bengaluru,29-04-2018,Indian Premier League,29,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,6,1,6,field,6,,6,win,57
1136590,2018,6,Pune,30-04-2018,Indian Premier League,30,male,T20,T20,20,2018,club,Maharashtra Cricket Association Stadium,252,129,252,field,129,13,,win,5
1136591,2018,6,Bengaluru,01-05-2018,Indian Premier League,31,male,T20,T20,20,2018,club,M.Chinnaswamy Stadium,3,1,3,field,1,14,,win,31
1136592,2018,6,Delhi,02-05-2018,Indian Premier League,32,male,T20,T20,20,2018,club,Arun Jaitley Stadium,134,252,134,field,252,4,,win,181
1136593,2018,6,Kolkata,03-05-2018,Indian Premier League,33,male,T20,T20,20,2018,club,Eden Gardens,6,129,6,field,6,,6,win,65
1136594,2018,6,Indore,04-05-2018,Indian Premier League,34,male,T20,T20,20,2018,club,Holkar Cricket Stadium,3,494,3,field,3,,6,win,61
1136595,2018,6,Pune,05-05-2018,Indian Premier League,35,male,T20,T20,20,2018,club,Maharashtra Cricket Association Stadium,129,1,129,field,129,,6,win,348
1136596,2018,6,Hyderabad,05-05-2018,Indian Premier League,36,male,T20,T20,20,2018,club,Rajiv Gandhi International Stadium,252,252,2,bat,2,,7,win,22
